Company,TypeName,OpSys,Processor,Inches,Display,IPS,Touchscreen,X_res,Y_res,Ram,SSD,Hybrid_Storage,Gpu_Brand,Weight,Price
Acer,2 in 1 Convertible,Chrome OS,Intel Celeron,11.600000000000001,Normal,1,1,1366,768,4,0,0,Intel,1.25,20459.519999999997
Acer,2 in 1 Convertible,Windows 10,Intel Celeron,11.600000000000001,Full HD,1,1,1920,1080,4,0,0,Intel,1.25,18594.72
Acer,2 in 1 Convertible,Windows 10,Intel Core i5,13.3,Full HD,1,1,1920,1080,1,256,0,Intel,1.6,53226.72
Acer,2 in 1 Convertible,Windows 10,Intel Core i5,13.3,Full HD,1,1,1920,1080,8,256,0,Intel,1.5,45128.16
Acer,2 in 1 Convertible,Windows 10,Intel Core i5,13.3,Full HD,1,1,1920,1080,8,256,0,Intel,1.6,36709.92
Acer,2 in 1 Convertible,Windows 10,Intel Core i7,13.3,Full HD,1,1,1920,1080,8,256,0,Intel,1.6,42038.4528
Acer,2 in 1 Convertible,Windows 10,Intel Core i7,14.0,Full HD,1,1,1920,1080,8,256,0,Intel,1.2,61218.72
Acer,Gaming,Linux,Intel Core i5,15.6,Full HD,0,0,1920,1080,8,0,0,Nvidia,2.4,40146.479999999996
Acer,Gaming,Windows 10,Intel Core i5,15.6,Full HD,0,0,1920,1080,16,256,0,Nvidia,2.5,69210.72
Acer,Gaming,Windows 10,Intel Core i5,15.6,Full HD,1,0,1920,1080,8,256,0,Nvidia,2.5,45074.88
Acer,Gaming,Windows 10,Intel Core i7,15.6,Full HD,1,0,1920,1080,8,8,0,Nvidia,2.7,67132.8
Acer,Gaming,Windows 10,Intel Core i7,17.3,Full HD,1,0,1920,1080,16,8,0,Nvidia,3.575,103096.8
Acer,Gaming,Windows 10,Intel Core i7,17.3,Full HD,1,0,1920,1080,16,256,0,Nvidia,3.575,130482.72
Acer,Netbook,Chrome OS,Intel Celeron,11.600000000000001,Normal,0,0,1366,768,2,32,0,Intel,1.3,9270.72
Acer,Netbook,Chrome OS,Intel Celeron,11.600000000000001,Normal,1,0,1366,768,4,0,0,Intel,1.25,15824.16
Acer,Netbook,Chrome OS,Intel Celeron,11.600000000000001,Normal,1,0,1366,768,4,0,0,Intel,1.35,18914.4
Acer,Netbook,Windows 10,Intel Celeron,11.600000000000001,Normal,0,0,1366,768,4,0,0,Intel,1.4,14332.32
Acer,Netbook,Windows 10,Intel Celeron,11.600000000000001,Normal,0,0,1366,768,4,8,0,Intel,1.4,23176.8
Acer,Notebook,Chrome OS,Intel Celeron,14.0,Normal,0,0,1366,768,2,0,0,Intel,1.68,17582.4
Acer,Notebook,Chrome OS,Intel Celeron,14.0,Normal,0,0,1366,768,4,0,0,Intel,1.45,19980.0
Acer,Notebook,Chrome OS,Intel Celeron,14.0,Normal,0,0,1366,768,4,0,0,Intel,1.68,18594.72
Acer,Notebook,Chrome OS,Intel Celeron,15.6,Full HD,1,0,1920,1080,4,0,0,Intel,2.2,19127.52
Acer,Notebook,Chrome OS,Intel Celeron,15.6,Normal,0,0,1366,768,2,16,0,Intel,2.19,10602.72
Acer,Notebook,Chrome OS,Intel Celeron,15.6,Normal,0,0,1366,768,4,16,0,Intel,2.2,11135.52
Acer,Notebook,Linux,Intel Celeron,15.6,Normal,0,0,1366,768,4,0,0,Intel,2.4,15397.92
Acer,Notebook,Linux,Intel Celeron,15.6,Normal,0,0,1366,768,4,0,0,Intel,2.1,14492.16
Acer,Notebook,Linux,Intel Core i3,15.6,Normal,0,0,1366,768,4,0,0,Intel,2.4,19276.704
Acer,Notebook,Linux,Intel Core i3,15.6,Normal,0,0,1366,768,4,0,0,Intel,2.1,20166.48
Acer,Notebook,Linux,Intel Core i3,15.6,Normal,0,0,1366,768,4,8,0,Intel,2.1,21951.36
Acer,Notebook,Linux,Intel Core i5,15.6,Normal,0,0,1366,768,4,0,0,Intel,2.4,23539.104
Acer,Notebook,Linux,Intel Core i7,15.6,Full HD,0,0,1920,1080,8,0,0,Nvidia,2.4,43290.0
Acer,Notebook,Linux,Intel Core i7,15.6,Full HD,0,0,1920,1080,8,256,0,Nvidia,2.5,49497.12
Acer,Notebook,Linux,Intel Pentium,15.6,Normal,0,0,1366,768,4,0,0,Intel,2.1,15877.44
Acer,Notebook,Windows 10,AMD A10-Series,15.6,Normal,0,0,1366,768,8,0,0,AMD,2.2,30849.12
Acer,Notebook,Windows 10,AMD A12-Series,15.6,Normal,0,0,1366,768,8,256,0,AMD,2.2,35111.52
